Quadrant,ASN,CC,Cone,Percentile,Name
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",34779,SI,104,74.67980769230769,"T-2, d.o.o."
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",9198,KZ,102,63.06078431372549,JSC Kazakhtelecom
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",56630,LT,100,74.31494252873563,Melbikomas UAB
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",6206,NL,100,85.29749999999999,Netrouting B.V.
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",7470,TH,100,77.26400000000001,"TRUE INTERNET Co.,Ltd."
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",39737,RO,99,65.332,Prime Telecom srl
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",17408,TW,99,76.75227272727273,AboveNet Communications Taiwan
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",63927,HK,98,88.70103092783505,RISE
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",39686,NL,96,62.75,Eurofiber Nederland BV
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",15557,FR,94,61.925274725274726,SFR SA
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",63293,US,93,80.3095744680851,Meta (CDN Network)
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",8262,BG,93,81.19397590361446,Evolink EAD
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",58224,IR,93,85.26521739130435,Iran Telecommunication Company PJS
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",5606,RO,92,64.5411111111111,GTS Telecom SRL
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",29802,US,91,71.85591397849463,"HIVELOCITY, Inc."
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",17494,BD,90,96.77045454545454,Bangladesh Telegraph & Telephone Board
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",35168,KZ,90,67.26179775280897,TNS-Plus LLP
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",45458,TH,89,66.78192771084336,SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",136557,AU,87,85.29638554216868,Host Universal Pty Ltd
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",42473,AT,87,62.19571428571428,Anexia Cloud Solutions GmbH
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",15412,GB,86,75.94098360655737,Flag Telecom UK Limited
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",139057,SG,86,71.56122448979592,Legend Dynasty Pte. Ltd.
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",3573,US,85,62.1780487804878,Accenture LLP
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",55824,IN,85,94.15058823529411,NKN Core Network
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",263703,VE,84,71.65730337078652,VIGINET C.A (vnet)
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",35753,SA,84,66.14939759036145,Etihad Salam Telecom CJSC
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",9829,IN,83,79.79880952380952,BSNL (Bharat Sanchar Nigam Ltd)
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",15802,AE,83,62.77361111111111,Emirates Integrated Telecommunications Company PJSC
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",38731,VN,81,73.6390243902439,Viettel - CHT Company Ltd
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",11014,AR,81,79.69756097560975,Metrotel
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",17451,ID,81,75.85747126436782,Biznet Networks
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",835,CA,79,64.76582278481013,GoCodeIT Inc
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",12735,TR,78,91.95974025974026,TurkNet Iletisim Hizmetleri A.S.
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",35805,GE,76,63.52236842105264,"JSC ""Silknet"""
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",47605,FI,76,62.667142857142856,FNE-Finland Oy
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",57866,NL,76,81.25833333333334,Fusix Networks B.V.
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",8308,PL,75,65.252,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",8903,ES,75,72.4095890410959,LYNTIA NETWORKS S.A.
"Q2: SIGNED CUSTOMERS, UNSECURED PROVIDER",45305,ID,74,81.90259740259741,PT Lintas Data Prima
