asn,name,cc,rir,cone,verdict,has_real_aspa,declared_providers,inferred_upstreams,jaccard_overlap
62068,SpectraIP B.V.,NL,ripencc,4,PARTIAL: VULNERABLE (Mixed),False,,58057;174;1103;3257;6939,
62069,Telecommunication Union Ltd.,RU,ripencc,0,STUB: VULNERABLE,False,,3216,
62070,Odeon Tourism International Malta Limited,MT,ripencc,0,NOT ROUTED,False,,,
62071,Datahost SRL,MD,ripencc,0,STUB: VULNERABLE,False,,25454;8926,
272853,"CORPORACION MALFA, SOCIEDAD ANONIMA",GT,lacnic,0,NOT ROUTED,False,,,
272852,SURINAME INTERNET EXCHANGE (SUR-IX),SR,lacnic,0,NOT ROUTED,False,,,
62074,QUANTUM POS S.R.L.,RO,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,8708,
62075,Julian Lannert,DE,ripencc,0,STUB: VULNERABLE,False,,29017;203329;6939,
62077,DT Iletisim Hizmetleri A.S.,TR,ripencc,0,STUB: VULNERABLE,False,,43298;34984;59796;15924;12735,
62078,Tobias Fiebig,DE,ripencc,0,NOT ROUTED,True,59645;207960,,
62079,Inferno Communications Ltd,GB,ripencc,0,NOT ROUTED,False,,,
62080,Adrian Almenar Serrano,ES,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,15954,
62081,Stowarzyszenie e-Poludnie,PL,ripencc,279,PASSIVE (Clean Pipe),False,,6762;174;1299;3257;6939;3356,
62082,Hostland LTD,RU,ripencc,0,STUB: VULNERABLE,False,,9002;208972;50509;57304;6939,
62083,"Fio banka, a.s.",CZ,ripencc,0,STUB: VULNERABLE,False,,29208;5610,
62084,Chernyshov Aleksandr Aleksandrovich,HK,apnic,0,NOT ROUTED,False,,,
272855,"TELECOMUNICACIONES MARA,CA. (TELMACA)",VE,lacnic,0,STUB: VULNERABLE,False,,263703,
62086,VIA-ONLINE GmbH,DE,ripencc,0,STUB: VULNERABLE,True,5430;12731;24961,24961;5430,0.6666666666666666
