asn,count,cone,name
201401,12,1,NewVM B.V.
963,12,1,N963 PTE. LTD.
9680,12,1,HiNet Service Center in U.S.A
30383,12,1,General Motors LLC
395753,12,1,KKR
12902,12,1,Ekco B.V.
43519,12,0,Nominet UK
17035,12,0,NBCUniversal
59930,12,0,Telegram Messenger - Americas
52580,12,0,Azion Technologies Ltda.
17903,12,0,"Cognizant Technology Solutions India Pvt Ltd,"
395717,12,0,"Wasabi Technologies, Inc."
28604,12,0,Globo Comunicação e Participaçoes SA
205975,12,0,Fibre Assets Ltd
202617,12,0,Kering Eyewear S.p.A.
26380,12,0,MasterCard Technologies LLC
55290,12,0,Depository Trust & Clearing Corporation
7483,12,0,"Skycloud Computing co., Ltd."
62005,12,0,BlueVPS OÜ
26395,12,0,Johnson Controls Inc
13188,12,0,Triolan
42841,12,0,ANTIK Telecom s.r.o
14689,12,0,Enfusion LTD. LLC
200478,12,0,Taboola.com ltd
211609,12,0,OKKO LLC
204805,12,0,Voiped Wholesale BV
59865,12,0,Ivent Mobile bv
20485,11,34017,TransTeleCom JSC
12389,11,12968,Rostelecom PJSC
9498,11,6974,Bharti Airtel Ltd.
8220,11,6289,COLT
58057,11,4502,Securebit AG
59796,11,258,StormWall s.r.o.
6663,11,218,Türk Telekom International
9299,11,215,PLDT (Philippine Long Distance Telephone Company)
8881,11,208,1&1 Versatel GmbH
4657,11,195,StarHub Ltd
1828,11,178,PacketFabric / Unitas Global
12578,11,160,SIA Tet
18678,11,148,INTERNEXA S.A. E.S.P
45899,11,131,VNPT Corp
9198,11,102,JSC Kazakhtelecom
1267,11,98,WIND TRE S.P.A.
29802,11,91,"HIVELOCITY, Inc."
16637,11,87,MTN SA (Bayobab)
35625,11,72,Eurofiber France SAS
29208,11,65,"Quantcom, a.s."
13194,11,63,"UAB ""Bite Lietuva"""
2687,11,62,"AT&T Enterprises, LLC"
5713,11,56,Telkom SA Ltd.
9381,11,49,HKBN Enterprise Solutions HK Limited
6205,11,46,HizliNet Teknoloji A.S.
6866,11,37,Cyprus Telecommunications Authority
49544,11,37,i3D.net B.V
293,11,35,ESnet
61049,11,35,Exascale Ltd
63956,11,31,5G NETWORK OPERATIONS PTY LTD
58299,11,29,Openfactory GmbH
29467,11,29,LUXNETWORK S.A.
23352,11,28,DEFT.COM
55821,11,27,"RADIUS TELECOMS, INC."
15704,11,26,XTRA TELECOM S.A.
21320,11,25,GEANT Vereniging
12337,11,25,noris network AG
44592,11,24,SkyLink Data Center BV
46475,11,24,"Limestone Networks, Inc."
135377,11,24,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
263998,11,24,SIM FIBRA
55329,11,23,Telcotech Ltd.
32425,11,23,Pixel Factory
262725,11,22,CONECT
6057,11,22,Administracion Nacional de Telecomunicaciones
29405,11,21,VNET a.s.
8309,11,20,SIPARTECH SAS
8368,11,20,Dstny BE N.V.
34177,11,20,Celeste SAS
9534,11,18,Maxis
34953,11,16,RelAix Networks GmbH
20676,11,15,Plusnet GmbH
39351,11,15,31173 Services AB
