Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
613,14618,55,55,51
614,1759,55,58,55
615,4750,55,55,54
616,4780,55,72,51
617,135069,55,67,51
618,25159,55,53,52
619,54113,54,128,4
620,131111,54,56,47
621,12695,54,76,49
622,27552,54,57,48
623,22677,53,53,50
624,8437,53,52,49
625,3204,53,94,42
626,31042,53,76,53
627,197068,52,66,48
628,26801,52,55,51
629,28761,52,69,52
630,5578,52,75,50
631,49063,52,66,48
632,13876,52,58,51
633,3249,52,53,50
634,31216,52,57,45
635,47272,52,49,45
636,24875,51,91,51
637,26677,51,62,51
638,1853,51,60,48
639,8764,51,69,43
640,24516,51,53,45
641,27951,51,62,48
642,6697,51,68,33
643,396998,51,52,39
644,55850,51,62,29
645,16086,51,63,50
646,38794,51,59,50
647,2588,50,42,41
648,25180,50,70,49
649,21700,50,59,48
650,46450,50,62,45
651,10753,50,61,50
652,4229,50,93,23
653,11232,50,54,42
654,56048,50,48,47
655,394684,50,55,41
656,6181,50,56,48
657,149994,50,53,48
658,149765,50,55,47
659,13807,50,58,50
660,53180,50,49,42
661,9931,49,56,47
662,13977,49,51,48
663,6768,49,57,40
664,35200,49,62,38
665,135718,49,55,48
666,45558,49,53,40
667,205794,49,76,44
668,9381,49,84,43
669,24198,49,59,42
670,150748,49,63,49
671,14593,49,119,17
672,44306,48,72,36
673,36086,48,61,48
674,137085,48,54,46
675,12301,48,64,46
676,33662,48,57,48
677,196925,48,71,32
678,7342,48,94,48
679,202984,48,63,27
680,136334,48,50,45
681,135905,48,47,42
682,262999,47,56,43
683,6849,47,73,47
684,52871,47,54,47
685,8932,47,61,34
686,30517,46,51,40
687,22645,46,54,46
688,61621,46,60,45
689,6205,46,73,41
690,134823,46,65,38
691,4648,46,58,37
692,23688,45,50,45
693,24748,45,55,33
694,34772,45,58,28
695,13576,45,56,45
696,12271,45,50,44
697,270158,45,57,32
698,50606,45,55,41
699,8926,45,84,44
700,29465,45,49,36
701,11260,44,66,39
702,11096,44,51,43
703,4922,44,47,42
704,63473,44,66,44
705,37497,44,78,39
706,1237,44,44,42
707,9924,44,69,43
708,203446,43,63,25
709,4812,43,48,42
710,6325,43,50,43
711,4181,43,53,40
712,36352,43,51,40
713,16713,43,50,38
714,25227,43,46,42
715,33154,43,47,42
716,138997,42,61,33
717,9457,42,47,33
718,12406,42,42,38
719,49981,42,85,41
720,3816,42,45,35
721,28458,42,80,39
722,140641,42,50,41
723,9145,42,75,39
724,12083,42,51,42
725,21508,42,47,42
726,43061,42,55,40
727,15440,41,47,38
728,56258,41,53,40
729,266409,41,45,36
730,212330,41,42,34
731,49100,41,43,40
732,62000,41,59,25
733,394177,41,51,34
734,6667,41,57,28
735,8595,41,52,41
